index;author;title
89;"Peres, Fabiano Moreno";"Desenvolvimento de métodos alternativos para a avaliação da resistência à fratura por fluência de resinas de polietileno utilizadas para a extrusão de tubos de água."
90;"Lins, Pedro Garcia";"Obtenção e caracterização de nanocompósitos de PS / argila esmectítica."
91;"Alves, Joner Oliveira";"Síntese de nanotubos de carbono a partir do reaproveitamento de resíduos sólidos carbonosos."
92;"Hincapie-Ladino, Duberney";"Corrosão, permeabilidade e danos provocados por hidrogênio em aços microligados."
93;"Araujo, Juliano Avelar";"Obtenção e caracterização microestrutural e química de recobrimentos multicamadas de NbN/CrN para aplicações tribológicas pelo processo de deposição física de vapor."
94;"Carvalho, Leandro Gomes de";"Um estudo cinético da precipitação de compostos intermetálicos e da reversão da martensita em aços maraging 300 e 350."
95;"Apaza Huallpa, Edgar";"Emissão magnética espontânea (SME) na transformação martensítica."
96;"Gonçalves, Cecília Korber";"Pirólise e combustão de resíduos plásticos."
97;"Stagetti, Fabio";"Encruamento e recristalização dos aços rápidos AISI M2 e ABC III: um estudo comparativo."
98;"Stuewe, Luciana";"Avaliação da influência do cromo e molibdênio na solidificação e formação de rechupes em ferros fundidos cinzentos."
99;"Santos Filho, Dinecio dos";"Alterações metalúrgicas e topográficas do cilindro de bloco de motor de combustão interna flex-fuel."
100;"Lagarinhos, Carlos Alberto Ferreira";"Reciclagem de pneus: análise do impacto da legislação ambiental através da logística reversa."
101;"Carvalho, André Luis de";"Avaliação comparativa da interação intermolecular do PMMA em termoformagem."
102;"Cavalcante, Renata Andrade Kobayashi";"Estudo do efeito de compostos de selênio em vidros soda-cal-sílica."
103;"Gomes Filho, Omar";"Influência da corrente elétrica, da força de recalque e do tratamento térmico de revenimento na soldagem topo-a-topo por centelhamento de serras de fita bimetálica."
104;"Rodrigues, Aline Alves";"Investigação das características tribológicas e ambientais de termoplásticos de engenharia especiais para uso em materiais de atrito."
105;"Mesquita, Fábio Agnelli";"Modificação das propriedades do polietileno de alta densidade por diferentes condições de extrusão."
106;"Sayeg, Isaac Jamil";"Caracterização microestrutural da decomposição de carbonetos eutéticos M2C em ferro fundido multicomponente do tipo Fe-2C-5V-5Cr-5Mo-5W tratados isotermicamente à 950ºC e 1.050ºC."
107;"Telles, Victor Bridi";"Reciclagem da poeira de aciaria elétrica na sinterização de minério de ferro visando a eliminação de zinco."
108;"Scuracchio, Bruno Geoffroy";"Influência dos elementos de liga no intervalo de solidificação do aço inoxidável martensítico CA6NM."
109;"Marcomini, José Benedito";"Caracterização da nova liga Fe-C-Mn-Si-Cr: fragilização da martensita revenida e curvas de revenimento."
110;"Silva, Anderson José Saretta Tomaz da";"Têmpera e partição em ferros fundidos nodulares."
